;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500
Quando foi a batalha de Gettysburg?;10478593743;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10482092123;10530082451;10523800096;10353046372;10436526103;10494572839;10494344103;10588963913;10404284783;10480558678;10459958114;10408110390;10411550861;10356528546;10580385078;10544082553;10485182383;10653571306;10437800560;10369785200
Liste todos os musicais com músicas de Elton John.;8597213372;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8528460181;8463276034;8523940572;8645500191;8616503296;8698283943;8550175631;8581086836;8546948213;8474983490;8629701803;8478178553;8597649097;8504063304;8548545484;8532039001;8555253122;8729841389;8706401323;8563030441
Qual a altura do Farol em Colombo?;26127157599;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;24374731392;23863669328;24084114870;23915119545;24230365218;24215651204;23911804258;24309861308;24316048766;24215645719;24140966011;24013311163;24140305377;23907522781;24429010918;24571123414;25037969346;24432151334;24690104327;24189512231
Quem foi a esposa do presidente americano Lincoln?;11944069707;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11660894255;11714601768;11729849941;11764996414;11651389030;12121450555;11709186068;11732230882;11720029439;11740895038;11814395580;11840205841;11682408809;11813913234;12093585320;11725688735;11651516882;11936734937;11753227855;11735489844
Quem é o apresentador do BBC Wildlife Specials?;19273673566;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;18324995519;18412192296;18836596513;18541455037;18914234978;18581727645;18876548931;18770577743;18574810922;19005664909;19131838170;18528992248;18447439140;18649932035;18850917386;18982009956;18490917471;18901325581;18556133745;18583919170
Quanto custou Pulp Fiction?;69794216023;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;68706242439;110989909576;69161991261;69922027638;68420632948;69938859541;109826275789;68908847282;69918141733;70395421025;70130409315;68864206851;68429737854;69060349675;69073771845;67873153808;111282437824;69548635244;69177273927;69557051862
Em que cidade fica a cervejaria Heineken?;10624248681;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10903778268;10540974314;10384679744;10605882907;10420335172;10516320498;10565339552;10467853706;10550169737;10491176638;10625473876;10441639445;10526296264;10567603657;10576268064;10582187661;10576073887;10512017643;10542656590;10526344747
Quando começou a Operação Overlord?;6841204233;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;6981626290;6887711822;6789698309;6813484855;6742716985;6806263828;6897682103;6839256372;6778836815;6972343018;6907184156;6756303964;6729336594;6852270209;6785512567;6823541652;6855882570;6820456459;6770885188;6762100218
Em que cidade termina a Rota 68 do Chile?;61356914027;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;15529419675;15249306327;15149941476;14999143333;15295897257;15010331997;15348191468;15145596963;15286375816;15255770770;15237613906;15188293413;15474109212;15181681873;15518968576;15591917789;15670349949;15719166870;16130241500;15914462507
