;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;19004;-1;19004;19004;19004;-1;19004;19004;19004;-1;19004
Liste todos os musicais com músicas de Elton John.;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;10548;-1;10548;10548;10548;-1;-1;10548;10548;-1;-1
Qual a altura do Farol em Colombo?;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;26218;-1;-1;26218;26218;-1;-1;26218;26218;-1;-1
Quem foi a esposa do presidente americano Lincoln?;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;19573;-1;19573;19573;19573;-1;19573;19573;19573;-1;-1
Quem é o apresentador do BBC Wildlife Specials?;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;8943;-1;8943;8943;8943;-1;8943;8943;8943;-1;-1
Quanto custou Pulp Fiction?;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;10892;-1;10892;10892;10892;-1;10892;10892;10892;-1;-1
Em que cidade fica a cervejaria Heineken?;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;30303;-1;30303;30303;30303;-1;30303;30303;30303;-1;-1
Quando começou a Operação Overlord?;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
Em que cidade termina a Rota 68 do Chile?;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;43350;-1;-1;43350;43350;-1;-1;43350;43350;-1;-1
