;base;base;base;base;base;base;base;base;base;base;base;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;73;98;148;198;298;-1;-1;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1;10;30;40;46;48;56;56;57;60;60;62;10;30;40;46;48;-1;-1;-1;-1;-1;-1
Liste todos os musicais com músicas de Elton John.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;21;14;37;41;90;139;194;194;-1;-1;8;21;14;37;-1;-1;-1;-1;-1;-1;-1
Qual a altura do Farol em Colombo?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;9;27;38;62;86;129;229;-1;-1;-1;5;9;27;38;-1;-1;-1;-1;-1;-1;-1
Quem foi a esposa do presidente americano Lincoln?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;183;183;183;183;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quem é o apresentador do BBC Wildlife Specials?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;149;199;299;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;8;15;30;31;31;31;31;50;87;114;-1;8;15;30;31;-1;-1;-1;-1;-1;-1;-1
Quanto custou Pulp Fiction?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;197;285;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;73;98;148;157;157;158;158;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1
Em que cidade fica a cervejaria Heineken?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;148;197;297;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;49;63;64;80;80;83;84;84;-1;10;30;49;63;-1;-1;-1;-1;-1;-1;-1
Quando começou a Operação Overlord?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;14;14;14;14;14;14;14;14;14;14;10;14;14;14;14;14;14;14;14;14;14;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Em que cidade termina a Rota 68 do Chile?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;20;39;64;113;163;263;-1;-1;-1;9;29;20;39;-1;-1;-1;-1;-1;-1;-1
